Commodity Number,Commodity Description,Unit of Quantity,Rate of Duty 1930 Tariff Act,Rate of Duty Trade Agreement,Tariff Paragraph
0010 600,Weighing less than 20o pounds each (calves).(2),No,,,
,,Lb_,2lb_,"1 Ib. Can.,Mex., bound 1 GATT.",
0010 700,Weighing 200 pounds and less than 700 (2) pounds each.,No,,,
,Weighing 700 pounds or more each:,Lb.,21b_,1Ib. Mex,701
0010 800,Cows for dairy purposes_. （2）,No,,,
,,Lb.,3f 1b_.,"1 Ib.Can., bound GATT.",
0010 900,"Cattle, n.B.p.f__ (2）",No,,,
,,Lb_,3lb_,"1 Ib.Can. Mex., bound 1 GATT.",
0012 000,Sheep and lambs -2,No_,$3 each.,$1.50 each Mex._,702
0012 200,Goats. 2,No_,$3 each_,,
0013 000,"Hogs 2） Poultry, live:",Lb,2lb..,"1 lb. Can., bound GATT.",703
0014 000,Turkeys_ (2）,Lb,8lb,4lb.Can 2 lb.GATT.,
0015 000,"Chickens, ducks, geese,and guineas-----. (2）",Lb,8lb.,4 lb.Can. 2 1b. GATT,711
0015 500,Baby chicks of poultry (2）,No-_,4f each__--,2f ea. GATT.,
,MEAT PRODUCTS,,,,
,"Fresh, chilled,or frozen:",,,,
0018 000,Beef_ -4,Lb_,6lb,3elb.Cuba 3€1b.GATT.,701
0019 000,Veal. （4） Pork:,Lb_,6lb,3 lb.Cuba_. 3€lb.GATT..,
0020 100,Fresh or chilled,Lb___,211b,"1lb.Can.,boundGATT",703
0020 500,Frozen.,Lb,211b,1lb.GATT,
0021 000,Mutton_,Lb_,51b_,2lb.GATT,
0022 000,Lamb_,Lb...,71b.,3 lb. GATT,702
0023 100,Goat meat.,Lb_,5 1b,2 Ib.GATT,
0023 200,Reindeer meat_,Lb_,6 1b,,
0023 300,Venison__,Lb.,6 1b_,3elb.U.K 1Ib.GATT.,704
0023 500,"Game (except birds), n. s. p.f. (specify by （4） name).",Lb.__.,6 lb__,3Ib.GATT_,
0023 600,"Edible offal: Livers,kidneys,tongues, hearts,(4) sweetbreads, tripe, and brains.",Lb_____,6 lb,3 lb.Can_,
,,,20% min.,15%min.Can 1 Ib. GATT 7%min.GATT,706
0023 800,Frog legs (C.D.610-4/6/42) -4,Lb____,10%,8%bound Cuba GATT.,1558
0023 900,"Meats, n. s. p.f_. （4）",Lb___,61b___,,706
,"Birds, including poultry: Dead, dressed or undressed:",,20%min,,
0024 000,Turkeys_ (4）,Lb,101b,,
0025 400,Chickens and guineas_. -4,Lb,101b,6lb.Can__ 3 1b.GATT.,
0025 500,Ducks and geese---. -4,Lb__,101b_,6lb.Can.. 3e lb.GATT_,
0025 900,"Birds, n.s. p.f. (including game birds)_- (4) Prepared or preserved:",Lb._-_,101b___,5€ lb. U.K. 2 1b.GATT,712
0026 500,"Turkeys, prepared or preserved, n. s. p. f. (4) (forimerly part of 0026000).",Lb____,10lb_,,
0026 900,"Birds, including poultry, prepared or pre- (4) served,n.e. s. (formerly part of 0026 000).",Lb..-.,10lb_,5€lb.GATTj,
0028 000,"Canned beef, including corned beef___(4)",Lb___--,6 lb_,"3 Ib. Arg.,Urug., Para.-",
,,,20%min.,"20%min. Arg.,Urug.,Para.",706
0029 000,,Lb_____,6 1b,"3eIb.Arg., Urug.,Para__.",
,"For erplanation of superior notations against commodity numberε and GATTrates,",,20%min___,"20%min. Arg.,Urug., Para.",
