Schedule_A_Commodity_Number,Commodity_Description,Tariff_Paragraph
,"CLASSIFICATION OF IMPORTS RATE OF IUTY UNIT OF TARIFF COMODITY NUMBER 1930TarifAet Trade agrcement HIDES AND SKINS, RAW (EXCEPT FURS)—Continued",11
0291 000,"Kangaroo and wallaby. （0) Piece V Free. Free, bound GATT Lb-.",11
0293 100,"Deer, buck or doe-. Piece Free- Free, bound Braz., Hond., W Lb-- Guat., El Salv., C. Rica, Para., GATT.",(0)
0293 200,"Elk, buck or doe. （0） Piece Free ▼ Free, bound GATT. Lb--",1765
0295 000,"Reptile skins, raw-- （1） Piece .- Free. Free, bound Neth., Co- Lb__ lomb.T K 12, El Salv., C. Rica,  Ecuad.,  Venz., Peru, Mex., GATT.",1765
0298 100,"Sealskins, raw (not fur skins)-------(1) Lb-. Free-- Free, bound U. K., GATT.. Fish skins, raw or salted: 0298300△ Shark skins---. (1） Lb.. Free-- Free, bound Mex., GATT.- Other--- Lb_--- Free---- Free, bound GATT 500.11 Carpincho hides and skins. Piece-- Free---- Free, bound, Arg., Para._ 70011 Wild pig and hog (from 0299 900). Piece-- Free-- Free, bound Para., GATT. Hides and skins, n. s. p. f. (specify by Piece--. Free-- Free, bound GATT name). LEATHER Leather made from hides or skins of cattle of the bovine species [ex- cept fancy leather par. 1530 (d)]: Sole leather (excluding offal):",900
0300100,"Flexible bend splits--- （7） Lb_- 12%%- 10% U. K., Mex., bound GATT. 8% bound Cuba GATT.",900
0300900,"Other. (7） Lb_. 12%%1. 10%1U. K., Mex., bound GATT. 8%' bound Cuba GATT.. Leather cutintosoles, blocks, etc.: 1530(b)",900
0301 300,"Outer and inner soles---. （7） Doz. pr− - 12½%-- 10% U. K., Mex., bound GATT. 8% bound Cuba GATT.-",(1)
0301500,"Other bottom cut stoek-------- (7） 12%%--- 10% U.K.,Mex., bound GATT. 8% bound Cuba GATT..",(1)
0302 000,"Belting leather (excluding offal).-- (7) Lb__. 12%%1 10%I U. K., Mex., bound GATT.",(1)
0303 000,"Harness and saddlery leather (in- (7) Lb_ 12%%1. 10%1 Can., U. K., bound 1530（b） cluding skirting, latigo, etc.). GATT. (3） H Cattle side upper:",(1)
0304100,Grains-- (7） Sq. ft---- 15%1. 12%%1U.K.，1 bound GATT. 10%I bound Cuba GATT.,(1)
0304 200,"Finished splits--- (7） Sq.ft---- 15%-- 12%%U. K., bound GATT. 10% bound Cuba GATT.-",(1)
0305000,"Patent leather.- （7） Sq.ft---- 15%-- 7%% Can., bound GATT._. Calf and kip leather (whole and side): 1530(b)",(1)
0306100,Upper- - Sq.ft_--- 15% 12%%1GATT. (4） 12%I bound Cuba GATT.,(7)
0306 500,Lining--- (7） Sq.ft_--- 15%- 12%%U.K 10%GATT. Cattle side upper splits:,(7)
0316 000,"Wax--. (7） Lb_ 15%- 10% U. K., bound GATT. 8%bound Cuba GATT.",(7)
0316 100,"Rough. Lb_ 15%- 10% U. K., bound GATT. 8% bound Cuba GATT.",(7)
0316 200,"Upholstery leather. Sq.ft--- 20% GATT. Rawhide, dehaired, oiled or greased, Lb--- 20%",(3
0316 310,U.K_ but untanned. GATT. 1530(b) (5）,15
0316 320,"Bag, case, strap and collar leather-- (7) Sq. ft.--- 20% 15%1U.K",10
0316 400,"Glove and garment leather-------(7) Sq.ft---- 20%--- 15% U, K., bound GATT. ! For supplemental num bers reporting inport tax under the Internal Revenue Code, to Foreword. refer to Foreword. August 1, 1950",10
