Confidence,TopLeft_X,TopLeft_Y,TopRight_X,TopRight_Y,BottomRight_X,BottomRight_Y,BottomLeft_X,BottomLeft_Y,Page,Commodity Number,Commodity Description,Tariff Paragraph,Hierarchical Description
0.9499754905700684,515,706,1289,706,1289,746,515,746,28,,Weighing less than 200 pounds each (calves). (2),,Cattle: Weighing less than 200 pounds each (calves). (2)
0.999549925327301,241,708,417,706,418,740,241,742,28,,,10600.0,
0.0989868491888046,789,765,796,765,796,772,789,772,28,,试,,Cattle: 试
0.9403600692749025,515,798,1292,798,1292,839,515,839,28,,Weighing 200 pounds and less than 700 (2) pounds each.,,Cattle: Weighing 200 pounds and less than 700 (2) pounds each.
0.9992591738700868,240,802,417,799,418,834,241,837,28,,,10700.0,
0.9992647767066956,242,896,388,896,388,931,242,931,28,,,10800.0,
0.964735209941864,548,897,950,904,950,938,548,931,28,,Cows for dairy purposes-. (2）,,Cattle: Weighing 700 pounds or more each: Cows for dairy purposes-. (2）
0.8681835532188416,550,956,823,960,822,998,550,994,28,,"Cattle, n.B. p.f_. (2）",,"Cattle: Weighing 700 pounds or more each: Cattle, n.B. p.f_. (2）"
0.9988619685173036,241,957,388,957,388,992,241,992,28,,,10900.0,
0.999176859855652,240,1050,391,1050,391,1085,240,1085,28,,,12000.0,
0.94818115234375,479,1050,769,1054,769,1089,479,1085,28,,Sheep and lambs..,,Sheep and lambs..
0.9989193081855774,239,1082,390,1080,391,1115,239,1118,28,,,12200.0,
0.9140681624412536,479,1083,605,1088,604,1119,478,1114,28,,Goats.-,,Goats.-
0.9931893944740297,2152,1108,2225,1111,2223,1153,2150,1150,28,,,703.0,
0.8656641244888306,477,1110,588,1120,585,1156,474,1147,28,,Hogs-,,Hogs-
0.996969997882843,240,1112,393,1112,393,1150,240,1150,28,,,13000.0,
0.8471397161483765,512,1175,683,1179,682,1217,511,1213,28,,Turkeys--. （2）,,"Poultry, live: Turkeys--. （2）"
0.9996285438537598,243,1177,390,1177,390,1212,243,1212,28,,,14000.0,
